,-0.09460407885996294,128061
"M@[,ADXR40,CROSSOVER-MACD]V@[,AD:OBV]",-1.6581490945450579,1
"M@[,ADXR40,RSI,CROSSOVER-MACD]",3.518953864237427,1
"M@[,ADXR40,RSI]",0.8637407550821106,20
"M@[,ADXR40,RSI]P@[,BELTHOLD,ENGULFING,LONGLINE]",3.076923076923077,1
"M@[,ADXR40,RSI]P@[,BELTHOLD,ENGULFING]",1.4439946018893448,1
"M@[,ADXR40,RSI]P@[,BELTHOLD,LONGLINE]",7.382550335570468,1
"M@[,ADXR40,RSI]P@[,BELTHOLD]",-1.1041393062699465,3
"M@[,ADXR40,RSI]P@[,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",1.4930444515510073,1
"M@[,ADXR40,RSI]P@[,ENGULFING]",-1.524132091447923,1
"M@[,ADXR40,RSI]P@[,HARAMI,SPINNINGTOP,SHORTLINE]",-0.2188249400479671,1
"M@[,ADXR40,RSI]P@[,HARAMI]",-2.6136363636363633,1
"M@[,ADXR40,RSI]P@[,LONGLINE]",-0.47771113860424635,2
"M@[,ADXR40,RSI]P@[,SHOOTINGSTAR]",0.5976095617529881,1
"M@[,ADXR40,RSI]P@[,SHORTLINE]",0.09272301444520892,3
"M@[,ADXR40,RSI]P@[,SPINNINGTOP,HIGHWAVE]",-1.6110125026819306,2
"M@[,ADXR40,RSI]P@[,SPINNINGTOP]",1.6563146997929645,1
"M@[,ADXR40]",0.07691278979347296,136
"M@[,ADXR40]O@[,CROSSOVER50]",0.5777396699085761,2
"M@[,ADXR40]P@[,3OUTSIDE,SHORTLINE]",-1.2079764940529365,3
"M@[,ADXR40]P@[,3OUTSIDE]",0.212032938639569,7
"M@[,ADXR40]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-0.9756097560975575,1
"M@[,ADXR40]P@[,BELTHOLD,ENGULFING,LONGLINE]",0.6672134379037911,4
"M@[,ADXR40]P@[,BELTHOLD,ENGULFING]",2.4926686217008838,1
"M@[,ADXR40]P@[,BELTHOLD,LONGLINE]",-0.6195196477723812,14
"M@[,ADXR40]P@[,BELTHOLD,SEPARATINGLINES]",-7.9556650246305445,1
"M@[,ADXR40]P@[,BELTHOLD]",0.9396050045805501,14
"M@[,ADXR40]P@[,CLOSINGMARUBOZU,LONGLINE]",-0.19622362088116185,1
"M@[,ADXR40]P@[,CLOSINGMARUBOZU]",-0.05227391531626907,1
"M@[,ADXR40]P@[,COUNTERATTACK]",6.535947712418301,1
"M@[,ADXR40]P@[,ENGULFING,3INSIDE,LONGLINE]",1.9739130434782648,1
"M@[,ADXR40]P@[,ENGULFING,3INSIDE,SHORTLINE]",-1.3511379470506337,1
