Scrip, Date, Sentiment, Comment
CLEAN,2022-05-28,NA,NA
SANCF,2022-05-28,NA,NA
SANINFRA,2022-05-28,NA,NA
DAULAT,2022-05-30,NA,NA
DEL,2022-05-30,NA,NA
IGLFXPL-B,2022-05-30,NA,NA
JAINCO,2022-05-30,NA,NA
LOYALTEX,2022-05-30,NA,NA
PANJON,2022-05-30,NA,NA
PBAINFRA,2022-05-30,NA,NA
PGFOILQ,2022-05-30,NA,NA
RELICTEC,2022-05-30,NA,NA
SAMRATPH,2022-05-30,NA,NA
SHARMEH,2022-05-30,NA,NA
UNIROYAL,2022-05-30,NA,NA
VENLONENT,2022-05-30,NA,NA
MPCOSEMB,2022-05-31,NA,NA
