buyIndia,avg,count
"P@[,HAMMER,TASUKIGAP]",1.1596901121165164,3
"P@[,CLOSINGMARUBOZU,MORNINGSTAR,MORNINGDOJISTAR,LONGLINE]",1.1501789242278435,2
"M@[,CCI:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",1.1468331478480316,2
"P@[,HARAMI,HARAMICROSS,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,TAKURI]",1.1455014847258187,3
"P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN]",1.1352118386377388,1
"P@[,BELTHOLD]O@[,CROSSOVER21,CROSSOVER50]",1.1208632546829287,1
"M@[,AROON:BOP]P@[,3INSIDE]",1.0874950434369468,6
"M@[,APO:BOP]P@[,3INSIDE,LONGLINE]",1.0723477266228196,2
"M@[,CCI,RSI:BOP]P@[,BELTHOLD,LONGLINE]",1.0645217505930544,8
"P@[,SHORTLINE,UNIQUE3RIVER]O@[,CROSSOVER21]",1.063093665471464,1
"P@[,SPINNINGTOP,HIGHWAVE,HIKKAKE,SHORTLINE]",1.0610079575596816,1
"P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SHORTLINE]",1.0486027739644808,2
"P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,TAKURI]",1.0432780099395647,2
"M@[,AROON:BOP]P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",1.0372631594189379,2
"P@[,SPINNINGTOP,3INSIDE,SHORTLINE]",1.0360168869036466,3
"M@[,RSI,CCI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",1.0344827586206897,1
"M@[,CCI:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SHORTLINE]",1.0051046654267775,1
"M@[,AROON:BOP]P@[,CLOSINGMARUBOZU,LONGLINE]V@[,AD:OBV]",1.0037174721189548,1
"M@[,CCI:BOP]P@[,BELTHOLD,PIERCING,LONGLINE]",1.0020657853638664,5
"M@[,AROON:BOP]P@[,BELTHOLD]O@[,CROSSOVER50]",0.992258205212084,1
"P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,TRISTAR,HIGHWAVE,RICKSHAWMAN]",0.9863474925718064,5
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,MORNINGSTAR,LONGLINE]",0.9833841980332239,1
"P@[,SPINNINGTOP,3INSIDE]",0.9739279364953434,14
"M@[,CCI:BOP]P@[,BELTHOLD,3INSIDE,LONGLINE,SEPARATINGLINES]",0.9698185770420649,1
"M@[,CCI:BOP]P@[,BELTHOLD,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",0.9669701601648139,1
"P@[,XSIDEGAP3METHODS]",0.961270970194369,17
"P@[,CLOSINGMARUBOZU,PIERCING,LONGLINE]",0.9569715190818315,2
"M@[,RSI:BOP]P@[,BELTHOLD,LONGLINE]",0.9525227013076047,16
"M@[,AROON,CCI:BOP]P@[,3INSIDE,LONGLINE]",0.9439496689234361,2
"M@[,RSI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",0.9374667945687557,6
"P@[,LONGLINE]O@[,CROSSOVER50]",0.9316152265446649,10
"P@[,HARAMI,SPINNINGTOP,HIKKAKE]",0.9311216451822952,3
"M@[,RSI:BOP]P@[,ENGULFING]",0.9299691596080524,9
"M@[,RSI:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE,TAKURI]",0.9096515572001198,1
"P@[,ENGULFING,UNIQUE3RIVER]",0.9083380184960113,2
"M@[,APO,CCI:BOP]P@[,ENGULFING]",0.8887970235634466,1
"M@[,ADXR40:BOP]P@[,3INSIDE,LONGLINE]",0.8864529205848708,2
"P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]V@[,AD:OBV]",0.8723931447449857,1
"M@[,RSI:BOP]P@[,3OUTSIDE]",0.8711540838159237,2
"M@[,ADXR40:BOP]P@[,SHORTLINE]",0.8647979114455651,8
"M@[,ADXR20:BOP]P@[,LONGLINE]",0.8521959163461702,18
"M@[,RSI:BOP]P@[,ENGULFING,SPINNINGTOP]",0.8396946564885525,1
"P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE]",0.8381424896122935,20
"M@[,CCI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]",0.8272191051647245,1
"M@[,ADXR20:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]O@[,CROSSOVER50]",0.8271747237100696,1
"M@[,ADXR20,CCI:BOP]P@[,LONGLINE]",0.8237791897448229,3
"P@[,BELTHOLD,MORNINGSTAR]",0.8236780460580737,8
"P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",0.8207602913401223,9
"M@[,CCI:BOP]P@[,ENGULFING,SPINNINGTOP]",0.8176812976930646,3
"M@[,CCI:BOP]P@[,CLOSINGMARUBOZU,MORNINGSTAR,LONGLINE]",0.8147153628155475,3
"M@[,RSI:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SHORTLINE]",0.8145217593670002,1
"P@[,DOJI,DOJISTAR,LONGLEGGEDDOJI,SPINNINGTOP]",0.8116883116883116,1
"M@[,ADXR20,APO:BOP]P@[,CDLINVERTEDHAMMER,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]",0.7999999999999924,1
"M@[,AROON:BOP]P@[,UNIQUE3RIVER]",0.7968127490039874,1
"M@[,RSI:BOP]P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,TAKURI]",0.7893994925289008,1
"P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP]",0.7856106125340983,2
"M@[,CCI:BOP]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",0.7843093549021385,9
"P@[,BELTHOLD,ENGULFING,3INSIDE,LONGLINE]",0.7775316354330937,7
"P@[,SPINNINGTOP,HIKKAKE,SHORTLINE]",0.7758944096247687,11
"M@[,AROON:BOP]P@[,SHORTLINE]O@[,CROSSOVER21]",0.7651476650290916,1
"M@[,AROON:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,HIKKAKE,RICKSHAWMAN]",0.7605939876856088,1
