sellIndia,avg,count
"P@[,ENGULFING,3INSIDE]",-0.955654607106153,2
"P@[,ENGULFING,CLOSINGMARUBOZU,HIKKAKE]",-0.9394891229176179,2
"P@[,EVENINGSTAR,LONGLINE]",-0.9346710350477911,16
"M@[,AROON,CROSSOVER-MACD]P@[,ENGULFING]",-0.9260649329329121,7
"M@[,CROSSOVER-MACD]P@[,SHOOTINGSTAR]",-0.9211535940524054,16
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,EVENINGSTAR]O@[,CROSSOVER21]",-0.9189366590088649,1
"P@[,ENGULFING,SPINNINGTOP,HIGHWAVE]",-0.9010042646423861,6
"M@[,ADXR20]P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]",-0.9003423778636369,7
"M@[,AROON]P@[,BELTHOLD,ENGULFING,3INSIDE]",-0.8985879332477572,1
"M@[,RSI]P@[,ENGULFING,EVENINGSTAR,LONGLINE]",-0.8869179600886835,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE]",-0.8851179476666321,12
"M@[,ADXR20]P@[,ENGULFING,3INSIDE]",-0.8798460269452815,1
"M@[,AROON]P@[,BELTHOLD,ENGULFING,EVENINGSTAR,LONGLINE]",-0.8787346221441126,1
"P@[,IDENTICAL3CROWS,SHORTLINE]O@[,CROSSOVER21]",-0.8736167734420501,1
"P@[,BELTHOLD,ENGULFING,EVENINGSTAR]",-0.8589251917759317,9
"M@[,AROON]P@[,EVENINGSTAR,EVENINGDOJISTAR]",-0.8540660972892726,1
"M@[,ADXR40]P@[,BELTHOLD,LONGLINE]",-0.8516527797439336,5
"M@[,APO]P@[,3OUTSIDE]",-0.8435145818138463,15
"P@[,HARAMI,SPINNINGTOP,HIGHWAVE,HIKKAKE,SHORTLINE]",-0.8365867261572784,1
"P@[,ENGULFING,3INSIDE,LONGLINE]",-0.8077012333152149,2
"M@[,RSI]P@[,SHOOTINGSTAR,HIKKAKE]",-0.8047054261060689,1
"M@[,CROSSOVER-MACD]P@[,SPINNINGTOP,SHORTLINE,UPSIDEGAP2CROWS]",-0.8022690437601248,1
"M@[,RSI]P@[,2CROWS]",-0.7922976549994177,2
"P@[,ENGULFING,SHORTLINE]O@[,CROSSOVER50]",-0.7775119617224966,1
"M@[,CROSSOVER-MACD,RSI]P@[,SHORTLINE]",-0.7763108951878146,3
"M@[,AROON]P@[,3INSIDE]",-0.7719786530127256,4
"M@[,ADXR20,AROON]P@[,LONGLINE]",-0.7706546787050014,1
"P@[,INNECK,ONNECK]",-0.7575757575757549,1
"M@[,AROON,CROSSOVER-MACD]P@[,LONGLINE]",-0.7546050063679153,12
"M@[,ADXR40]P@[,SPINNINGTOP,HIKKAKE]",-0.7441729851165446,1
"M@[,AROON,CROSSOVER-MACD]P@[,3OUTSIDE,LONGLINE]",-0.7417247594093813,6
"M@[,RSI]P@[,BELTHOLD,ENGULFING,EVENINGSTAR,LONGLINE]",-0.7363022357647222,3
"M@[,AROON]P@[,SHORTLINE]O@[,CROSSOVER21]",-0.7123599190353769,2
"M@[,ADXR40]P@[,SHORTLINE]",-0.7118980247929277,14
"M@[,APO]P@[,BELTHOLD,HIKKAKE,LONGLINE]",-0.7090108245477242,2
"P@[,SPINNINGTOP,SHORTLINE]O@[,CROSSOVER50]",-0.7085916740478233,1
"P@[,EVENINGSTAR,EVENINGDOJISTAR]",-0.7068583838297857,13
"P@[,SPINNINGTOP,3OUTSIDE]O@[,CROSSOVER21]",-0.7067137809187243,1
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",-0.69100881039874,2
"M@[,APO]P@[,MARUBOZU,BELTHOLD,ENGULFING,CLOSINGMARUBOZU,LONGLINE]",-0.6714028007747495,8
"P@[,CLOSINGMARUBOZU,DARKCLOUDCOVER,LONGLINE]V@[,AD:OBV]",-0.6653523903400662,1
"P@[,3OUTSIDE]O@[,CROSSOVER50]",-0.662983425414367,1
"M@[,RSI]P@[,BELTHOLD,ENGULFING,3INSIDE,LONGLINE]",-0.6552884758585769,1
"M@[,CROSSOVER-MACD]P@[,HARAMI,SHORTLINE]",-0.6503662637984138,8
"M@[,AROON]P@[,BELTHOLD,EVENINGSTAR,LONGLINE]O@[,CROSSOVER21]",-0.6480793897252353,1
"P@[,CLOSINGMARUBOZU,HIKKAKE,LONGLINE]",-0.6285477550476408,4
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,HIKKAKE,LONGLINE]",-0.6227551630638551,7
"M@[,APO]P@[,HARAMI,SHORTLINE]O@[,CROSSOVER21]",-0.6211476501462477,2
"P@[,UPSIDEGAP2CROWS]O@[,CROSSOVER21]",-0.6163021868787322,1
"M@[,CROSSOVER-MACD]P@[,ENGULFING]",-0.6150654996012415,60
"M@[,CROSSOVER-MACD,RSI]P@[,ENGULFING,LONGLINE]",-0.6074582372461995,1
"M@[,APO]P@[,3INSIDE]",-0.6035716507995657,1
"M@[,AROON]P@[,CLOSINGMARUBOZU]",-0.5956893665485288,10
"M@[,AROON]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER21]",-0.5949531337807893,3
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE]O@[,CROSSOVER21]",-0.5867345654483284,9
"P@[,3OUTSIDE]V@[,AD:OBV]",-0.5836575875486427,1
"M@[,CROSSOVER-MACD]P@[,CLOSINGMARUBOZU,DARKCLOUDCOVER,LONGLINE]",-0.582678555663451,1
"M@[,CCI]P@[,INNECK]",-0.5792495386508076,1
"P@[,SHOOTINGSTAR,SHORTLINE]",-0.5767612582999948,11
"P@[,SPINNINGTOP,HIGHWAVE,SHORTLINE]",-0.5693672468752156,12
"M@[,AROON,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-0.5655983501736687,3
"M@[,RSI]P@[,HARAMI,SPINNINGTOP,SHORTLINE]",-0.5637773079633625,1
"M@[,ADXR20]P@[,SPINNINGTOP,SHORTLINE]",-0.5612704701507792,4
"M@[,CROSSOVER-MACD]P@[,3INSIDE]",-0.5607453929482945,3
"P@[,CLOSINGMARUBOZU,EVENINGSTAR,2CROWS]",-0.550964187327812,1
"P@[,BELTHOLD,ENGULFING,SEPARATINGLINES]O@[,CROSSOVER21]",-0.5221932114882539,1
"M@[,ADXR40]P@[,ENGULFING]",-0.5172172778528451,1
"P@[,BELTHOLD,EVENINGSTAR,LONGLINE]",-0.5103969997715696,31
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,DARKCLOUDCOVER]",-0.5074025462709179,3
"M@[,RSI]P@[,DARKCLOUDCOVER]",-0.5041908306999169,2
"M@[,CROSSOVER-MACD]P@[,BELTHOLD,3OUTSIDE,LONGLINE]",-0.5013512647201743,22
"M@[,AROON,CROSSOVER-MACD]P@[,BELTHOLD,LONGLINE]",-0.49817996037440154,34
"P@[,ADVANCEBLOCK,STALLEDPATTERN]",-0.4974056181785683,1
"M@[,RSI]P@[,EVENINGSTAR]",-0.49674739758780895,2
"M@[,ADXR40,AROON]P@[,LONGLINE]",-0.49435028248586765,1
"M@[,AROON]P@[,EVENINGSTAR,EVENINGDOJISTAR,LONGLINE]",-0.49019607843136215,1
