buyIndia,avg,count
"M@[,ADXR20:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",-1.5079062723407444,2
"M@[,APO:BOP]P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]",-1.504140144567916,2
"M@[,ADXR20:BOP]P@[,CDLINVERTEDHAMMER,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN]",-1.4982164090368635,1
"M@[,CCI:BOP]P@[,SPINNINGTOP,3INSIDE]",-1.4978091692493074,7
"M@[,RSI:BOP]P@[,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,TAKURI]",-1.495874315372921,2
"M@[,RSI:BOP]P@[,HARAMI,HARAMICROSS,DOJI,SHORTLINE]",-1.4957264957264957,1
"P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE,TAKURI]",-1.4901793339026512,1
"M@[,ADXR20:BOP]P@[,CDLINVERTEDHAMMER,SHORTLINE,UNIQUE3RIVER]",-1.485401459854008,1
"M@[,ADXR40:BOP]P@[,MORNINGSTAR,MORNINGDOJISTAR]",-1.4846621301990368,1
"P@[,MARUBOZU,BELTHOLD,CLOSINGMARUBOZU,LONGLINE,SEPARATINGLINES]O@[,CROSSOVER21]",-1.478237065425687,1
"M@[,CCI,RSI:BOP]P@[,SPINNINGTOP,HIGHWAVE]",-1.4692766700755426,3
"M@[,ADXR20:BOP]P@[,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI]O@[,CROSSOVER21]",-1.4614135543970523,1
"M@[,APO,AROON:BOP]P@[,BELTHOLD,LONGLINE,SEPARATINGLINES]",-1.4527205493924986,1
"P@[,HAMMER,DOJI,DRAGONFLYDOJI,LONGLEGGEDDOJI,SPINNINGTOP,TAKURI]",-1.445783132530124,1
"M@[,CCI:BOP]P@[,BELTHOLD,3INSIDE,LONGLINE,SEPARATINGLINES]",-1.4408996128076386,2
"P@[,SPINNINGTOP]V@[,AD]",-1.424314572477857,2
"M@[,ADXR40:BOP]P@[,CDLINVERTEDHAMMER]",-1.4085644937586632,2
"P@[,SPINNINGTOP,HIKKAKE,SHORTLINE]O@[,CROSSOVER50]",-1.403061224489796,1
"M@[,RSI]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.3930669848925528,3
"M@[,AROON:BOP]P@[,BELTHOLD,ENGULFING,LONGLINE]O@[,CROSSOVER21]",-1.3796680497925264,1
"M@[,CCI:BOP]P@[,ENGULFING,HIKKAKE,SHORTLINE]",-1.3785790031813283,1
"M@[,AROON:BOP]P@[,BELTHOLD,LONGLINE]O@[,CROSSOVER50]",-1.3706884383058722,2
"M@[,AROON:BOP]P@[,BELTHOLD,3OUTSIDE,LONGLINE]O@[,CROSSOVER21]",-1.369666889376743,1
"M@[,ADXR40:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN]",-1.3682566603452775,6
"P@[,LONGLINE,MATHOLD]",-1.3661415677753623,2
"M@[,AROON:BOP]P@[,CLOSINGMARUBOZU,3INSIDE]",-1.3655225985813135,1
"P@[,HAMMER,HARAMI]",-1.3637137893976354,9
"M@[,RSI:BOP]P@[,PIERCING]",-1.3607130729683325,3
"M@[,AROON:BOP]P@[,ENGULFING,LONGLINE]O@[,CROSSOVER21]",-1.3456686291000945,1
"P@[,MORNINGSTAR,MORNINGDOJISTAR]",-1.3435022951781066,23
"M@[,AROON:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,3OUTSIDE,HIGHWAVE,RICKSHAWMAN]",-1.3413897280966793,1
"M@[,APO,RSI:BOP]P@[,DOJI,LONGLEGGEDDOJI,SPINNINGTOP,HIGHWAVE,RICKSHAWMAN,SHORTLINE]",-1.3409961685823693,1
"P@[,BELTHOLD,MORNINGSTAR]O@[,CROSSOVER50]",-1.338104870079356,1
"M@[,CCI,RSI:BOP]P@[,HARAMI]",-1.3346156399983113,7
"P@[,BELTHOLD,ENGULFING,LONGLINE]O@[,CROSSOVER21]",-1.323089093568093,5
"P@[,HARAMI,HARAMICROSS,DOJI,GRAVESTONEDOJI,LONGLEGGEDDOJI,SPINNINGTOP,RICKSHAWMAN,SHORTLINE]O@[,CROSSOVER21]",-1.311876858492216,1
"M@[,AROON:BOP]P@[,LONGLINE]O@[,CROSSOVER50]",-1.2962962962963016,1
"M@[,RSI:BOP]P@[,CDLINVERTEDHAMMER]",-1.2949171590941273,3
"M@[,APO:BOP]P@[,CLOSINGMARUBOZU,LONGLINE]",-1.2920085426086245,6
"M@[,ADXR40:BOP]P@[,HARAMI,HARAMICROSS,DOJI,LONGLEGGEDDOJI,SPINNINGTOP]",-1.2913223140495869,1
"P@[,BELTHOLD,ENGULFING,SEPARATINGLINES]",-1.2881988056513471,3
"M@[,APO,CCI:BOP]P@[,MORNINGSTAR,MORNINGDOJISTAR,LONGLINE]",-1.2877358490566124,1
"M@[,CCI:BOP]P@[,CDLINVERTEDHAMMER]",-1.2799999999999954,1
"P@[,3LINESTRIKE]",-1.2682010333489981,1
"M@[,ADXR40:BOP]P@[,SPINNINGTOP,HIGHWAVE]",-1.2521429549737315,3
